Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"77844575","1","","","2024-01-19 08:09:23","","0","137","<p>All of a sudden GitHub's 2FA stopped working and I'm now locked out. The account was set to use pass keys. The PKs are managed by my password manager (Dashlane) but GitHub would no longer accept them. I tried switching to the TOTP (Microsoft Authenticator), which is set up for GitHub, but the generated codes are also not accepted. Double checked iPhone's time setting (as per recommendation) and it's already set to Automatic.</p>
<p>Now, I do have a set of recovery codes but there seems to be no way to submit them. The support docs instructs me to pick the recovery code option in the &quot;Having problems&quot; box, under the failed login attempt, but that box contains a single option: &quot;Reconfigure 2FA on this account&quot;, which is what makes it possible to switch between passcoded or TOTP, and nothing else.</p>
<p>I then tried using the AI assistant, which guides me through various options, all of which I have already tested. At the end of the &quot;conversation&quot; it asks me if I have recovery keys. I answer &quot;yes&quot;. The assistant then simply congratulates me, as I'm in the luck, apparently, and then wishes me a great day. No instructions for how to actually use the recovery codes.</p>
<p>Desperate, I finally googled the link to GitHub community, so I could ask other users. Turns out that requires I login with 2FA!</p>
<p>Either I'm mad, or the GitHub auth and recovery mechanism is a textbook example for how not to design systems.</p>
<p>I'm out of ideas for now, and would greatly appreciate any hints on how to move on.</p>
","532875","","532875","","2024-01-19 08:44:42","2024-01-19 08:44:42","Locked out of GitHub and can't get support","<authentication><github><12factor>","0","1","","","","CC BY-SA 4.0"
"77834118","1","","","2024-01-17 16:46:25","","0","67","<p>I am deploying a Django app and I got stuck. I am trying to follow the <a href=""https://12factor.net/"" rel=""nofollow noreferrer"">12 factor app</a> principles. Specifically, they state that you should have all your configuration in environment variables. Also, I don't want to have multiple <code>settings.py</code> files, because that goes against the 12FA principles. So, I have simply a single <code>settings.py</code> file, which checks environment variables using <code>os.environ['xxx']</code> for stuff like database login etc.</p>
<p>On the local dev machine, these environment variables are pulled from a file called <code>.env</code>. On the server, I am planning to store all the environment variables inside a systemd unit using the <code>Environment=</code> syntax.</p>
<p>Now, my problem occurs while deploying. I copy all the source Python files onto the server, and I need to call <code>collectstatic</code> and <code>migrate</code>. However, these actions both require the presence of a <code>settings.py</code> file which needs to have access to the database. However, <code>collectstatic</code> is called from my CI/CD pipeline and doesn't have all those environment variables; the <strong>only</strong> place where they're stored is the systemd unit file which has very limited permissions (only root can read and write to the file).</p>
<p>My question is, what approach could I take in order to follow 12FA while maintaining a single <code>settings.py</code> file?</p>
","7060972","","","","","2024-01-17 16:46:25","How to properly deploy a Django app while following 12FA?","<python><django><deployment><cicd><12factor>","0","2","","","","CC BY-SA 4.0"
"77562814","1","","","2023-11-28 09:48:26","","0","42","<p>What difference between AdminSiteOTPRequired and OTPAdminSite?
couldn't understand at first glance almost identical
I use authorization by email, I changed the class in the code to another one, but I didn’t see the difference in the documentation. The only thing I deducted was that one class is specifically for administering admin users, but the second one too?</p>
<pre><code>from two_factor.urls import urlpatterns as tf_urls
from two_factor.admin import AdminSiteOTPRequired
from django_otp.admin import OTPAdminSite
admin.site.__class__ = AdminSiteOTPRequired
urlpatterns = [   
    path('', include(tf_urls)), 
]
</code></pre>
","4127922","","409228","","2023-11-28 13:12:48","2023-11-28 13:12:48","What difference between AdminSiteOTPRequired and OTPAdminSite?","<django><one-time-password><12factor>","0","0","","","","CC BY-SA 4.0"
"77192317","1","","","2023-09-28 05:24:01","","-1","237","<p>In my organization we use Quarkus-based microservices.
We usually create a container from the main branch and deploy it in dev,qa, and prod.</p>
<p>To target these environments, we have different profiles. We also make use of environment variables to keep things configurable as per the 12 factor app methodology.</p>
<p>Now I am faced with an confusion regarding best practices.</p>
<p>To elaborate further, please consider the below example.</p>
<p>OrderService has 2 configurable parameters.</p>
<pre><code>app.db.conn
app.web.port
</code></pre>
<p>My <code>application.properties</code> looks like this.</p>
<pre><code>app.db.conn:${DB_CONN}
app.web.port:${WEB_PORT}
</code></pre>
<p>Now I have 3 environments to deploy this app to. However, I can just run the application and supply the env parameters. This makes my <code>application-dev.properties</code>, <code>application-qa.properties</code>, and <code>application-prod.properties</code> <em><strong>look empty</strong></em> as I will not hard code values directly inside these environment specific properties.</p>
<h5>My question is what the best practise regarding properties file in light of 12 factor app / env-based configurable properties?</h5>
<p>Is it okay to just run the application in dev/qa/prod profile and supply env variables and have empty application-.properties file? Or get rid of the convention of env specific application properties files altogether.</p>
<p>Currently I have application.properties, application-.properties in my project. The profile based properties look useless and are just repeating what is present in the application.properties file.</p>
","2835764","","2696260","","2023-09-28 05:40:57","2023-09-28 06:53:15","Should I write profile based application.properties files in Quarkus?","<java><quarkus><properties-file><12factor>","1","0","","2023-09-28 20:40:20","","CC BY-SA 4.0"
"76687602","1","","","2023-07-14 12:17:19","","0","119","<p>a little help needed. I have a method that generates a otpauth string to be used with Google Authenticator</p>
<pre><code>CkCrypt2 crypt;
CkString encodedString;
CkByteData inputData;
inputData.append2(secretKey.c_str(), secretKey.length());

bool success = crypt.Encode(inputData, &quot;base32&quot;, encodedString);

stringstream uriStream;
uriStream &lt;&lt; &quot;otpauth://totp/&quot; &lt;&lt; username &lt;&lt; &quot;?secret=&quot; &lt;&lt; encodedString;
string uri = uriStream.str();
</code></pre>
<p>This then generates a QR code image, all seems fine at this point.</p>
<p>I then have a method to verify the OTP supplied by the user to a system generated OTP</p>
<pre><code>CkCrypt2 crypt;
string origSecretKey; //this gets set earlier in the method by retrieving it from the database

const char* otp = crypt.totp(origSecretKey.c_str(), &quot;base32&quot;, &quot;0&quot;, &quot;&quot;, 30, 6, -1, &quot;sha1&quot;);

cstring strOtp(otp);

bool success = (m_twoFactorCode == strOtp);
</code></pre>
<p>No matter what happens, the 6-digit OTPs never match. Any help very much appreciated.</p>
<p>Here is how I generate the QR code</p>
<pre><code>BOOL CUserAdminGrid::GenerateQRCode(const std::string&amp; text, int size, int scale, const std::string&amp; filename) {
QRcode* qrcode = QRcode_encodeString(text.c_str(), 0, QR_ECLEVEL_L, QR_MODE_8, 1);

if (qrcode) {
    int qrSize = qrcode-&gt;width;
    int newQrSize = qrSize * scale;

    FILE* fp = fopen(filename.c_str(), &quot;wb&quot;);
    if (fp) {
        png_structp png_ptr = png_create_write_struct(PNG_LIBPNG_VER_STRING, NULL, NULL, NULL);
        png_infop info_ptr = png_create_info_struct(png_ptr);
        png_init_io(png_ptr, fp);
        png_set_IHDR(png_ptr, info_ptr, newQrSize, newQrSize, 8, PNG_COLOR_TYPE_RGB_ALPHA,
            PNG_INTERLACE_NONE, PNG_COMPRESSION_TYPE_DEFAULT, PNG_FILTER_TYPE_DEFAULT);

        png_write_info(png_ptr, info_ptr);

        png_bytep row = new png_byte[newQrSize * 4];

        for (int y = 0; y &lt; newQrSize; ++y) {
            int qy = y / scale;

            png_bytep p = row;
            for (int x = 0; x &lt; newQrSize; ++x) {
                int qx = x / scale;
                int module = (qrcode-&gt;data[qy * qrSize + qx] &amp; 0x1) ? 0 : 255;

                *p++ = 255; // Red
                *p++ = 255; // Green
                *p++ = 255; // Blue
                *p++ = module; // Alpha
            }
            png_write_row(png_ptr, row);
        }

        png_write_end(png_ptr, info_ptr);

        delete[] row;
        fclose(fp);

        png_free_data(png_ptr, info_ptr, PNG_FREE_ALL, -1);
        png_destroy_write_struct(&amp;png_ptr, (png_infopp)NULL);
    }

    QRcode_free(qrcode);
    return true;
}
else
{
    return false;
}
</code></pre>
<p>}</p>
","7665728","","7665728","","2023-07-14 14:05:31","2023-07-14 14:05:31","Generating and verifying 2FA OTP using Chilkat CkCrypt2","<c++><chilkat><12factor><google-2fa>","0","0","","","","CC BY-SA 4.0"
"76527075","1","","","2023-06-21 20:55:30","","0","127","<p><a href=""https://i.sstatic.net/I1aac.jpg"" rel=""nofollow noreferrer"">screenshot from phone</a>I have used the authenticator app from team2Swift, It has been nearly 10 day I have used , now the app is auto updated, now when i open the app it says, get started with your first 2FA.</p>
<p>Is there any way to recover it ? or is that a bug from the app and are they trying to resolve it?</p>
","21267485","","21267485","","2023-06-21 21:00:53","2023-06-21 21:00:53","how to get my Authenticator app - Team2Swift account?","<authentication><12factor>","0","0","","","","CC BY-SA 4.0"
"75171122","1","","","2023-01-19 10:50:25","","1","92","<p>I'm finding inspiration from the <a href=""https://12factor.net"" rel=""nofollow noreferrer"">twelve-factor app</a> approach to organize the deployment process of small applications. I'm stuck on the release stage on guidelines that sound contradictory.</p>
<p>The twelve factor app says that the config should not be stored in files but in the environment, like environment variables. (I imagine that files sitting somewhere on the host can also serve as &quot;config stored in the environment&quot;, such as a ssh private key in <code>.ssh/private_key</code> that will give access to some protected resource through ssh.)</p>
<p>I thus imagine just setting up my various hosts manually by setting those environment variables by hand (or in <code>.bashrc</code> or similar so I don't have to do it again every time they reboot). I only usually have 2 hosts: my laptop for development and a server for showing my work to others. If I had more hosts, I could think of a way to automate this, but this is out of the scope of my question.</p>
<p>Then the <a href=""https://12factor.net/build-release-run"" rel=""nofollow noreferrer"">twelve factor app</a> guidelines define the release stage as producing a release that contains both the build and the config. This could simply mean sending your build (for example docker images of your app) to the target host. The built app and the target host configuration being at the same place (on the same host), they are de facto combined.</p>
<p>I don't however have any way to uniquely identify a release or have the possibility to rollback. In order to do that, I would have to store the config with the build somewhere so that I can get back to them if I need to. That's where I'm stuck: I can't figure out how one approaches this in practice.</p>
<p>What sounds contradictory is that config should be read from the environment and the possibility to rollback to a previous release, which implies a previous config.</p>
<p>Perhaps the following workflow would be an answer, but maybe convoluted:</p>
<ol>
<li>send the build to the host,</li>
<li>read the host config (environment variables, etc.) and copy them to make a snapshot of this host's config at that moment,</li>
<li>store both the build and the config copy in a uniquely identified place</li>
</ol>
<p>Such that when you want to run a particular release on a given host, you :</p>
<ol>
<li>apply that release config to the host environment</li>
<li>run the build which will read the config from the environment</li>
</ol>
<p>The step of making a snapshot of the environment's config to apply it again seem somewhat convoluted and I'd like to know if there is a more sensible way to think about the release stage.</p>
","589192","","","","","2023-03-20 01:46:22","In the twelve factor app method, what does it mean to combine the build with the deploy's config?","<12factor>","1","0","","","","CC BY-SA 4.0"
"74466863","1","","","2022-11-16 20:32:39","","1","279","<p>Consider an app which, in <a href=""https://12factor.net/config"" rel=""nofollow noreferrer"">12-factor style</a>, receives its config in the form of a JSON document provided as an environment variable. The config contains secrets, so it is never stored on disk; instead, it is computed on the fly before starting the app, using something like <a href=""https://github.com/mozilla/sops"" rel=""nofollow noreferrer"">sops</a> or <a href=""https://github.com/mozilla/nunjucks"" rel=""nofollow noreferrer"">nunjucks</a>.</p>
<p>I am trying to debug such an app in IntelliJ. Is there any way to run some arbitrary script before launch and provide its output to the app as an environment variable?</p>
<p>I will accept answers for any run config type, but an approach that works with &quot;npm&quot; or &quot;Application&quot; would be most helpful for me.</p>
","1056174","","","","","2022-11-16 21:18:19","Debugging an app with computed environment variables in IntelliJ IDEA","<intellij-idea><environment-variables><run-configuration><12factor>","1","0","","","","CC BY-SA 4.0"
"73960105","1","","","2022-10-05 12:07:45","","0","22","<p>when the username and passwords is correct the Jbutton takes the user to the OKTA verify webpage the user authenticates and is redirected to the java application but the page after the login</p>
","20166646","","","","","2022-10-05 12:07:45","Jbutton to redirect to 2FA url authenticate and come back to application with new page","<java><12factor>","0","2","","","","CC BY-SA 4.0"
"73525502","1","","","2022-08-29 07:36:13","","1","213","<p>I 'm reading the <a href=""https://12factor.net/"" rel=""nofollow noreferrer"">12-factor-app manifesto</a> and stumbled upon the concept of <em><strong>dependency isolation</strong></em> <a href=""https://12factor.net/dependencies"" rel=""nofollow noreferrer"">here</a>. I'm familiar with the concept from working in Python projects using <a href=""https://conda.io/"" rel=""nofollow noreferrer"">conda</a>. But how can I achieve the same kind of isolation in a <em>nodeJS</em> application?</p>
<p>I had the case in the past where I had <code>eslint</code> installed globally but not defined in <code>package.json</code> in the project. The CI/CD failed later because of a missing dependancies. So I know how much important this can be.</p>
<p>Of course I can always run my apps inside isolated <a href=""https://www.docker.com/"" rel=""nofollow noreferrer"">docker</a> containers, but I feel like this is an overkill for local development specially for small projects.</p>
<p>Is there any way to ensure dependancy isolation in nodejs projects?</p>
","4556219","","","","","2023-03-20 01:58:43","How to ensure dependency isolation in node project?","<node.js><dependencies><12factor>","2","0","","","","CC BY-SA 4.0"
